geneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
CYP24A1	0.7973002122246422	-0.8149971789956423	-0.7948122154239833	-2.0141831579683416	1.2308485395404691	2.474600258104712	1.2837099011927617	2.740478069365317	1.888631862974761	2.162449700506445
CYP27B1	0.8235935794818406	-1.1105716187377441	-0.2725297552254208	0.674731444507236	1.0531248536990796	3.888396380661087	3.827621730979882	3.800559287078089	3.546580488483205	4.61319338910787
CYP2E1	3.148712847438237	3.0444332320797898	2.7975405373060944	3.0468484725956344	4.4440762130173	1.9184893404611267	0.15283192252183384	1.5488724727001115	0.9029492393506794	0.2060703197175746
CYP2J2	4.401651002608482	4.065865607696034	3.7235824397787365	3.4981264623306414	2.301813482173075	0.8384345623808662	-2.7100166170438365	0.07076880718064305	-1.658805490529068	0.15964701887909696
CYP2W1	2.4912691317549456	1.6594950702974534	1.7784507863595236	2.05242464373001	1.1775718708800424	-2.532078980163879	-3.920841608078525	-1.5589291863176948	-3.1504498705591812	-2.104605133046976
CYP39A1	5.07557624507123	5.136031782100605	4.645697098721327	5.542705450075251	5.9235322248460545	1.5256631347104554	-0.19306702015193009	-0.17671822941234397	-0.4204840506604693	1.4520010949394948
CYP3A4	1.5515299495177128	1.1647254557623548	0.4753327195455682	1.2115563139588854	2.6489188454109023	-1.7855666008193665	-2.9678089701649344	-1.3778186189152357	-2.2921559059209997	-1.9492995866343323
CYP4B1	2.2310687036244987	3.6994692197059993	3.0788426145215264	3.2378218900704323	3.5915796108530396	1.172849881145262	0.42790730152489276	1.191041307666731	-0.025459824979536725	1.0700427670502095
CYP4F12	4.913537796795686	4.920965141942347	4.9888794909349254	5.093410229368512	3.9806017208377544	3.00100631972341	1.7895021383031302	0.1847874037148986	-0.5475217035773601	0.46183774722493653
CYP4F22	5.787528476935731	5.131645804039555	5.072628963127324	4.640873405114858	5.207301365051387	3.9319975601378228	-0.42431244365069626	0.8162554511298299	1.2113119281702098	2.8930065054284104
CYP4X1	2.954043249682598	3.4566030399531034	3.7560305348433154	3.501526243036011	2.2354840295138314	0.5987927713179051	0.19649196489247223	0.08780829023204291	-0.6436049735174535	-0.257869411390256
CYTH4	2.625446834247279	4.119739657242185	3.826572263575862	4.146575597216246	4.530928608348046	6.997338374895311	7.444633529286067	7.665616532609005	7.648138508540756	7.000765319232511
CYTIP	2.386839482993447	3.1728605903237805	2.621409299153823	3.277226096996009	2.9574332149007847	6.443218580497466	6.541481085138693	7.030069600395911	7.05053449241883	6.31552672569492
DAAM1	7.734724551850816	7.636258295372887	7.6925441641617365	7.302676866543592	8.213414681682336	5.789417488410239	4.847160313612389	4.545270569046976	4.70908807305555	5.10132486231002
DACT2	3.1684280158094857	2.8647791809492076	2.886402197035677	3.4411008208925784	2.563574438393482	-0.2987729894004862	-2.310871212173116	-2.6166087138398404	-1.5319060643904892	-1.4289977329058052
DAPL1	6.363101062878924	5.837038441433087	5.718794966389161	5.8814715046702535	5.0660380927442175	4.385438537852221	-2.1699425613384657	-0.7597958681733248	-1.6996237605527316	0.05047320040214458
DCD	11.34749406399565	9.529340367294129	11.20867902600313	9.099709310232694	9.686298622938438	6.697622791804255	4.070274191534426	4.21459383443222	3.363560934419823	3.714424516632754
DCST2	0.040486521644950084	1.1048667431407	0.5615065314126707	1.2858081554021283	1.0907614460655068	-2.2155956585540815	-1.7708250984054006	-1.4093095672541596	-2.378613680774133	-2.412634721238791
DCT	8.731001295472925	8.564172498327453	7.518486261373265	8.127722076971853	8.90679463346378	4.665661662451347	-3.3785748624078717	2.582286053581526	1.1969928779303047	3.289929584604841
DDR1	7.573379604906153	7.165268339368495	7.173719296424886	7.203941689635259	7.485109180960455	5.93659756169949	4.618483495491477	4.3023042155844635	4.24641137761978	4.777029772388394
DEFB103A	-1.98690423727716	-1.2234677325789	-2.6400414101702876	-0.5540262096584686	0.8869010765846761	2.7110855072532	1.8847943112933496	1.3438247554026248	2.2224567030315456	1.176623329934942
DEFB103B	-1.0189442128729929	-0.23837666687762138	-1.689157004665011	0.4169724752392076	1.80272098176818	3.710055451027669	2.881842750625479	2.3397947133351686	3.220588853297795	2.174483955760728
DEFB4A	-6.495644090823147	-2.2252045083287557	-6.540970938081874	-5.205006816170501	0.2746297401207544	5.004079100204318	5.1418950828025265	4.180361555968305	4.139793489236372	2.8706157618897854
DEGS1	9.713444322419114	9.470054415267947	9.186038711860297	9.329243831107956	8.75284469041402	7.5700513003712	6.399875157683596	6.3424276392159475	6.536209921627308	6.8872273715985415
DENND2C	7.452703844911847	7.102983084003165	7.143076842017245	7.214617629074807	6.012726979420297	5.9610659277477955	3.797510902739792	3.9098383915987425	3.9679864175312165	5.101758214202484
DENND3	3.449955834417933	4.057048959595342	4.6533857437752735	4.14888055659371	3.5456390138533163	5.300276862873246	6.416202669423043	6.326470737103173	6.1884490243486345	6.282806016800781
DERL3	-1.4769651422218193	-0.6795402727066371	-1.313834473450424	0.19924710025445463	0.14765832714242363	6.420583191210116	5.239999615699719	5.361663736829901	6.393218396284748	3.9082270466817897
DGAT2	8.294947533056979	8.513630637242272	8.492283028364799	8.374512309664437	8.369347148475805	6.285764568505916	4.202587901195083	4.288170726799884	4.064619037473619	4.676924794956916
DGCR5	2.1640274149340324	1.9524090333915485	2.6300925626960243	1.9862181335998672	0.5291793815133704	-0.31831806363534254	-0.7419976254187712	-0.08447070180225866	0.5647020430999622	0.12069298757003565
DIO2	6.030756227898035	5.157373733123739	5.299027757358469	4.193617529443911	5.999772111563603	8.167603565628156	6.885206715266545	7.1012222541702466	6.537075966757168	8.240097466373795
DLEU7	-0.3824525326162517	-0.34602408226299847	0.18984664324346925	-0.591861079121682	-0.16952208840901295	1.5763885760352943	1.8371781532792362	2.36265576942831	2.2756538682081895	2.474087602670229
DLG2	4.500439410438962	4.477711045876169	4.501589674754442	4.248854420494162	4.856944184214171	2.53480017958786	1.0881807712631084	1.0792726198772133	0.9898725961139706	1.333308637689594
DLG4	-2.5576291667536957	-0.0423079838255815	-1.458762265412311	-0.56877057430998	-2.2541277446524948	1.0123850825382799	2.2850644932286674	0.3933358738906159	0.815411942487398	1.4632376408586525
DLG5	6.977146316516612	6.785915451601563	6.851957660832849	6.807411205240903	6.738873530369794	5.203434984357202	5.1902146263282685	3.8287565682530067	4.518658366629533	5.140196608167386
DLK2	3.305498921335712	2.9184747382976566	2.342270595930631	3.444140846218468	3.291269300713196	0.631631166462437	-0.3395434143119432	0.35863113765652027	-0.30140816154594513	0.015093546880908257
