geneID	FCtl_LE_1	FCtl_LE_2	FCtl_LE_3	F1h_LE_1	F1h_LE_2	F1h_LE_3	F3h_LE_1	F3h_LE_2	F3h_LE_3	F12h_LE_1	F12h_LE_2	F12h_LE_3	F24h_LE_1	F24h_LE_2	F24h_LE_3
Smp_012560.1	4.986554607114612	4.648271196168147	5.046542338591043	4.914675185058541	4.539847468851867	5.022867486076624	4.736748548519179	4.726938554886488	5.134417124050072	6.269824603277911	5.944591515308821	6.436632840295599	6.787693333457089	6.716825192592219	6.484792814140861
Smp_194130.1	1.3276298580799035	1.1287602300733035	1.5946726460191656	1.8487074211314851	1.3242678398516208	0.46239553492044566	1.7482272600310036	1.2492100768413834	1.0994353186461108	1.2045049473401008	1.7775122000617831	0.8653843028091975	2.5082032434412413	2.71300173209795	3.234829756359108
Smp_151060.1	3.3739522359216307	3.6160485315283095	3.61607674162243	3.688548071871647	3.5460027075530505	3.752957139927602	3.5592113039659647	3.6940658500334935	3.1278054575002576	4.573359428399871	4.497498567356758	4.707607806342054	4.688761920538055	4.861119400154214	4.98611601634537
Smp_150990.1	0.5404417231911748	1.1311377664658742	0.9931489513085544	0.0944129312795771	0.5265715493520836	0.4602773102609474	0.5986412253642452	0.27992796660355773	0.48674438612870957	2.6045348362368195	2.890898480822685	2.473676058694766	2.3004822348338485	2.088657832683519	2.882858881383444
Smp_050270.1	11.131350078877901	11.014314813648072	10.857717914463224	11.217395249988098	10.84140489775996	11.020723368962942	11.037054304128562	10.871653660804588	11.166685713179128	10.098425986313982	10.070281516263528	10.137991423794196	9.197933206759194	9.380606316171535	9.2971476101073
Smp_149020.1	5.77783280747144	5.658638191400746	6.314412071916008	5.788296066970271	6.1459372549471505	6.116518407064106	6.342200984664249	6.2431182554466	6.190698475701878	6.983063795377402	7.386492643911483	6.877325613585214	7.060108312221604	6.696412153286622	7.072197187482066
Smp_049850.1	5.681009691052326	5.836274414804196	5.77584463789669	5.994283778492237	5.793575687552781	5.319079824890444	5.442597391305546	5.160432971379924	5.298691615149617	2.318715951905735	1.9019265026479395	1.8463671992077724	1.5263417561153283	1.5546524854457653	1.5707921331055883
Smp_148820.1	5.5267976910695396	5.756234371625438	5.746848420862531	5.732989390668686	5.523205974117017	5.338162661267329	5.249433126657872	5.113999002527852	5.110424265011168	1.952021473019223	2.5211510843671596	2.501949588979932	2.172910624719569	1.5983515942473019	1.9000728615199056
Smp_193960.1	-2.919323023486734	-2.9574135723910846	-2.705470952109715	-2.7139707335139516	-2.281851595605597	-1.9722054017010615	-1.5891195598320536	-2.154060580544174	-0.9116730904929444	-2.2537711010495234	0.26746260931744215	-0.2768131495404004	0.7967803457285995	-0.6456061783950485	0.8737397304935169
Smp_173210.1	4.06988272641084	4.190383257284724	4.368860569581633	4.133080967064203	4.406311218860846	4.608940710284411	4.472413233278868	4.336247216451847	4.339449108666855	4.6608314756413245	4.827403079754563	4.688182169246086	5.341648945135461	5.08080419651861	5.400305875686395
Smp_053060.2	8.341135879912649	8.367486386858909	8.51579156094786	8.260982378932962	8.508025124188544	8.305349198046036	8.401526678792226	8.57022915542032	8.19835980157916	6.905327559237642	6.919331141942745	6.933254456078297	7.067412517097964	7.432014945740541	7.124350476990947
Smp_150580.1	4.7229162924383274	4.779231335193851	4.893544016839482	4.654581724626061	4.780216206136907	4.644190490419026	4.719084144728435	4.846141080821341	4.591370282570298	3.6491218463235238	3.880050176429472	3.5884122916050174	3.4599592587433476	3.783627973627391	3.536327504881821
Smp_153290.1	5.021106381714425	4.9694644729189745	4.9726087339792535	4.857942170148404	4.837254419285245	5.348538581782459	5.17356822208396	5.005782879050637	5.301644176266884	6.384847205596488	6.709086877998641	6.121322529970297	6.261519825468404	6.04020177520166	6.60911535769125
Smp_153430.1	5.216031962023017	5.246071269892041	5.219478644535333	5.4092557647465735	5.40609437825313	5.291230625802017	5.262376584811055	5.204580304996561	5.15392237738378	4.50475498976509	4.344820338582418	4.226682850365304	4.054257189156242	4.273536398059106	4.138624720990287
Smp_058160.1	6.547782163370473	6.3142090165724225	6.342462168413872	6.501565702594382	6.2730018396721485	6.30803456152631	6.248664491468112	6.1189490861583185	6.697991954561018	5.4493098009176	5.216293795028106	5.903881887342837	4.42438696594396	4.574179262158709	4.865148781661256
Smp_160160.1	6.973701800893677	6.851231585274531	6.677211099488467	6.919290731596771	6.6890960420890355	6.957967545608424	6.858308329566727	6.866700729650722	7.02458315273569	5.706986469799063	5.929554954511183	5.491578095876561	4.348666222822758	4.578709028634264	5.093806505691081
Smp_146740.1	-1.69649259828243	-1.0817009537296167	-1.9700548856040587	-1.9759645598809639	-3.0186200439622013	-1.972685179993108	-2.437031196807807	-2.153205619463723	-0.9118620666372924	1.1527788162046038	0.4429795768683086	0.06272049467769393	0.10887804736270208	0.1171419610078512	1.518843268481337
Smp_146760.1	2.0961424968596147	2.447736624020931	1.9359552251228216	2.178339519707614	1.7016214622121972	1.2596841090344157	1.544964296921633	1.7924198262381696	2.2868571450391855	2.3905976762630567	2.027908583068319	2.912785791054719	3.6130181664911722	3.51468578580323	3.1038298206263826
Smp_044750.1	5.483802630589274	5.660706072541267	5.457745292977384	5.27531091349216	5.409439751745987	5.5788244119684185	5.317083225510537	5.388225104984496	5.198625543328004	6.103881450595106	6.089579477384884	5.584341749437981	6.76118861666553	6.674355002386222	6.1809000838909816
Smp_156850.1	3.027620780183173	3.508920083396841	3.494974212373307	3.639278605679718	3.4258033574213926	3.053780283103294	3.435951503947434	3.2051625015284264	3.3081157618118984	4.525484856905737	4.5921307665100555	4.718588567137073	4.940402048345803	5.099663501518638	4.969668357678478
Smp_059480.1	7.0743080473514715	6.886492169035554	6.949687679662528	7.034182571131151	6.918311438597958	6.566742455184863	6.784763286235108	6.88300549707704	7.291087022879393	8.721295593872474	8.716761387368921	8.956128598387332	9.086095854695225	9.191900004399244	9.357776005677229
Smp_159260.1	2.0367845588631845	1.9693366298371664	2.042466772573398	1.5886003831841167	1.3325476186878211	2.444273397627085	1.6512762284262006	1.4122657546397468	2.197703598841203	3.779527054538008	3.8506159210066113	2.907027681316866	3.1387028534508263	3.1793658688227495	3.5472471428740544
Smp_143950.1	2.616272702755428	2.992421877935767	2.6922293116513263	2.9999157115308215	2.366803691178033	2.444761624237715	2.536364173498753	2.5841200560868405	3.0117184918824202	0.18085238912106666	0.8067819025910241	0.3341499365263	1.0705013187398675	0.3888293812015209	0.7969198382785194
Smp_143970.1	5.515496973461843	4.982589784717475	5.067759938592386	5.549145839553749	5.137356745235369	5.319876941190875	5.165054258085332	5.089099781896491	5.326729926055709	4.317784982742505	4.254513910892918	4.306210601731115	3.340111301540941	3.881374269629573	3.3753622571195674
Smp_202840.1	4.385720750099969	4.088304336671511	4.185305376361666	4.200688966381792	3.944086913592676	4.004203886745979	3.9312764512208593	4.200576279388272	4.073950935916099	1.2967817726705202	1.6410301005245207	1.9208804969144402	1.1381402709701833	1.3466378165980288	1.2666650262372192
Smp_040100.1	7.743749677771133	7.863747248332826	7.36834433575964	8.06231357471376	7.781249806250898	7.306448987045051	7.534063959222784	7.720640963071051	7.77711931172109	6.848208956787065	6.817982400052219	6.880007355351055	6.296739201745404	6.756427576561976	6.709257102067258
Smp_040110.1	2.003170202197272	1.9004392748074415	1.85966407076774	1.5831590657929497	1.903178394506265	2.149408189301946	2.159617928986028	2.1525131279726306	2.104864502585741	2.6037648599408403	3.0473571772488874	2.4476772997237757	3.269984382711053	3.053607966893194	3.465192667143152
