A	infection	infection	infection	F	F.p.value
AC125232.1	3.53258963254571	-0.18174501794505	-0.542421844313536	0.597559239096889	0.294221457188498	0.597559239096889
AC127070.1	3.08428670282366	0.354402114311286	1.16021182308261	0.268754610121125	1.34609147442066	0.268754610121125
AC138969.4	4.43031080435133	-0.301892526637651	-1.31133352241314	0.214531642608869	1.71959560700446	0.214531642608869
AC141272.1	-1.41656147029743	7.45807528681862	8.38568168514577	2.48378815894351e-06	70.3196573245893	2.48378815894351e-06
AC141586.5	2.17758894217288	0.0573232384600351	0.273837625459688	0.788913746146449	0.0749870451174003	0.788913746146449
AC145212.2	2.26669620517336	0.960809390851805	1.98946749428761	0.0701813009901814	3.95798091082702	0.0701813009901814
AC159540.14	0.785312831902198	-0.14221713020754	-0.250743290012128	0.80629794737565	0.0628721974861059	0.80629794737565
AC240274.1	4.95669064062778	-1.0309625106955	-3.76104780942207	0.00276349979627219	14.1454806247585	0.00276349979627219
AC255361.1	1.01792556031416	-0.308042502753166	-0.468957953946529	0.64759098304536	0.219921562569715	0.64759098304536
ACAA1	5.06105315628602	-0.106139056067371	-0.416173834888448	0.684704731390257	0.173200660845757	0.684704731390257
ACAA2	5.73679791711694	-0.0733782502168125	-0.469637700064293	0.647119160134614	0.220559569321679	0.647119160134614
ACACA	6.29565896803541	-1.01030528167641	-4.44651580325467	0.000817819410922837	19.7715027885935	0.000817819410922837
ACACB	5.26027939220752	-1.95050934071381	-6.07848812301924	5.76246799973489e-05	36.9480178616859	5.76246799973489e-05
ACAD10	4.17355086122636	-0.143187459996009	-0.791193753947262	0.444345004764158	0.625987556285161	0.444345004764158
ACAD11	4.66716405006703	-0.598225887663157	-2.85921290162247	0.014506229635927	8.1750984168044	0.014506229635927
ACAD8	5.08338178954886	-0.4892968088468	-2.43824672139972	0.031447510376667	5.9450470744165	0.031447510376667
ACAD9	5.58356122805101	-1.21590598056202	-7.615602889226	6.59900468168356e-06	57.9974073663873	6.59900468168356e-06
ACADL	0.219443006399926	-5.08096324045598	-9.19298339449068	9.54747232536519e-07	84.5109436913814	9.54747232536517e-07
ACADM	5.42302272380395	-0.176957703413023	-1.03302683446706	0.322169412048517	1.06714444072904	0.322169412048517
ACADS	4.33886914570028	0.0980973428034329	0.490657393071089	0.632608989742373	0.240744677375317	0.632608989742373
ACADSB	5.23975445772783	-2.01186943670548	-10.5236488526427	2.25733293872763e-07	110.747185173728	2.25733293872763e-07
ACADVL	7.2638946258066	0.116899711639131	0.671321018688745	0.51486145023392	0.450671910133295	0.51486145023392
ACAN	1.95101928193795	1.25646212003994	2.29819324940453	0.0405385743130387	5.28169221160856	0.0405385743130387
